source,time,talker,text
Iron_Man_Full_Script,,NARRATOR,"Smarter weapons, fewer casualties. A dedication to preserving life. A visual crescendo of America's modern military might."
Iron_Man_Full_Script,,NARRATOR,"Today Tony Stark's ingenuity continues to protect freedom and American interest around the globe. A waving American flag superimposed with an Annie Liebowitz portrait of Tony. And as it fades out, APPLAUSE, then a light shines on a podium, revealing Lt. Colonel Rhodes."
Iron_Man_Full_Script,,RHODEY,"As Program Manager and Liaison to Stark Industries, I've had the honor of serving with a real patriot, a man whose life has been dedicated to protecting our troops on the front lines. He's a friend. And a great mentor. A man who has always been there for his friends and his country. Ladies and gentlemen, this year's ARES Award winner -- Mr. Tony Stark. THUNDEROUS APPLAUSE. A spotlight fixes on Tony Stark or rather his empty chair. Applause wanes, lights fade up -- 6 INT. BALLROOM - CAESAR'S PALACE - LAS VEGAS - NIGHT	6 Military brass, politicians, movers and shakers. Heads swivel and MURMUR, where's Tony? OBADIAH STANE (50s), CFO of Stark Industries, regards the empty chair. He makes his way to the podium. Awkward."
Iron_Man_Full_Script,,OBADIAH,"Thank you-- I, uhhh, I'm not Tony Stark, but if I were Tony, I'd tell you how honored I am and-- what a joy it is to receive this award. (then) The best thing about Tony is also the worst thing, he's always working. SMASH CUT TO: 7 INT. CASINO - CAESARS PALACE - NIGHT	7 Tony plays craps, a crowd erupting as they all win big. Chips pile up. Tony's flanked on both sides by lucky ladies. In between rolls, he whispers into one Woman's ear --"
Iron_Man_Full_Script,,TONY,"--you think we're having a 'moment' here, but this is actually the logical conclusion of several mathematical truisms. Your hypothalamus is flooding your system with a chain of proteins called peptides, so that every cell in your body is opening itself up to the happy chemical: oxytocin."
Iron_Man_Full_Script,,WOMAN,(seriously turned on) That's-- wow--
Iron_Man_Full_Script,,TONY,Hold on a second -- He rolls again. The table is hot. More cheers.
Iron_Man_Full_Script,,TONY,"-- so now your limbic system is positively throbbing. A Kirlian photograph of us right now, occupying this space, would show serious subatomic particles being exchanged between us, with a rapidity that transcends-- (then) Are you getting this? You will be quizzed -- And now he sees Rhodey pulling up, glowering."
Iron_Man_Full_Script,,TONY,"My God, what are you, they roped you into this thing too?"
Iron_Man_Full_Script,,RHODEY,Yeah. They said you'd be deeply honored if I presented.
Iron_Man_Full_Script,,TONY,"Okay, let's do it. Rhodey plops the ARES statue down on the felt."
Iron_Man_Full_Script,,TONY,"That was quick. Thought there'd be more of, you know, a ceremony. Maybe a highlight reel -- Tony shakes karma into the dice, rolls again. He craps out. Groans from the table, everyone staring at Rhodey the ""cooler""."
Iron_Man_Full_Script,,TONY,"(to the Boxman) Colore me up. (turns others) My chaperone has just arrived with my -- (holding the ARES) -- Degenerate of the Year Award. Judging from his look, I may have just peed in the kiddie pool. The Boxman racks up Tony's chips."
Iron_Man_Full_Script,,TONY,"I must now take my ease, along with the House's funds. He's handed racks of chips, then tips the table Operators and heads off with Rhodey. Two hotel Security Guards fall in behind. As they meander past tables -- People gawk, snap photos of Tony with their phones."
Iron_Man_Full_Script,,RHODEY,A lot of people would kill to have their name on that award.
Iron_Man_Full_Script,,TONY,It belongs to my old man. They should have given it to him.
Iron_Man_Full_Script,,RHODEY,"What's wrong with you? A thousand people came here tonight to honor you, and you leave them with egg on their face. This award means something, Tony, it's bigger than you --"
Iron_Man_Full_Script,,TONY,"Hold that thought a sec. He's stopped in front of a roulette wheel. Puts all his chips down on, nods to wheel operator."
Iron_Man_Full_Script,,TONY,Put it all on black. Don't worry -- it's approved. The Wheel Operator spins. CLOSE ON - ROULETTE WHEEL: the ball finally settling on red. The Dealer scoops away Tony's chips.
Iron_Man_Full_Script,,RHODEY,--you just blew three million.
Iron_Man_Full_Script,,TONY,Yeah. Don't know what was more exciting -- winning it-- or the fact that I don't care I just lost it.
Iron_Man_Full_Script,,RHODEY,Everything's funny to you.
Iron_Man_Full_Script,,TONY,No. You're not funny.
Iron_Man_Full_Script,,RHODEY,We've got a hell of a day tomorrow. Can we get out of here now?
Iron_Man_Full_Script,,TONY,One more stop. CUT TO: B8 INT. BATHROOMS - CAESARS PALACE - NIGHT	B8 An empty palatial bathroom. Tony's in the stall on his throne. Rhodey splashes his face by the mirrors.
Iron_Man_Full_Script,,TONY,Of course I respect your opinion.
Iron_Man_Full_Script,,RHODEY,This is no joke. You're going into a hot zone. We should be doing this test here in Nevada.
Iron_Man_Full_Script,,TONY,"This system has to be demonstrated in true field conditions. The Bathroom door swings open and VIRGINIA ""PEPPER"" POTTS enters, Tony's sexy and very capable assistant."
Iron_Man_Full_Script,,PEPPER,"Tony, it's the President. Wants to congratulate you personally. Heads up. She tosses the cellphone over the top of the stall. All very routine. Rhodey listens to Tony talk, shaking his head."
Iron_Man_Full_Script,,TONY,"Jim, how're the trout running? Yeah, sitting on top of the world here. Working on my masterpiece --"
Iron_Man_Full_Script,,A MINUTE LATER,"Tony washes up. As they leave, Rhodey drops money in the absent Attendant's tip basket. Tony adds the ARES statue to the basket and follows Rhodey out. 9 INT. CASINO FLOOR - CAESAR'S PALACE - CONTINUOUS - NIGHT	9 Hotel Guards have patrons cordoned outside the bathroom. We PICK UP Tony and Pepper in mid walk-and-talk."
Iron_Man_Full_Script,,PEPPER,You're leaving the country for a week. I need five minutes --
Iron_Man_Full_Script,,TONY,"Okay -- shoot. 10 EXT. CAESAR'S PALACE - NIGHT	10 Tony heads for his waiting limo, the entourage hanging back."
Iron_Man_Full_Script,,PEPPER,"(checking her tablet PC) The Board meeting is on the eleventh. Should I tell them to expect an appearance--? WOMAN'S VOICE (O.S.) Mr. Stark! Tony turns, spots CHRISTINE EVERHART, a hot young Reporter holding a recorder. Security keeps her at bay."
Iron_Man_Full_Script,,CHRISTINE,"Christine Everhart, Vanity Fair Magazine. Can I ask you a few questions?"
Iron_Man_Full_Script,,TONY,"Can I ask a few back? She gives him a disarming smile. Tony waves at Security to let her through. Pepper shakes her head, then takes a call."
Iron_Man_Full_Script,,CHRISTINE,You've been described as a Da Vinci for our times. What do you say to that?
Iron_Man_Full_Script,,TONY,Ridiculous. I don't paint.
Iron_Man_Full_Script,,CHRISTINE,"And what do you say to your other nickname: ""The Merchant of Death?"""
Iron_Man_Full_Script,,TONY,That's not bad -- Her gaze is suddenly cold.
Iron_Man_Full_Script,,TONY,Let me guess. Berkeley?
Iron_Man_Full_Script,,CHRISTINE,Brown.
Iron_Man_Full_Script,,TONY,"Well Miss Brown, it's an imperfect world and I assure you, the day weapons are no longer needed to keep the peace, I'll start manufacturing bricks and beams to make baby hospitals."
Iron_Man_Full_Script,,CHRISTINE,"Rehearse that much, Mr. Stark?"
Iron_Man_Full_Script,,TONY,Every night in front of the mirror. Call me Tony.
Iron_Man_Full_Script,,CHRISTINE,"I'm sorry, ""Tony"", I was hoping for a serious answer."
Iron_Man_Full_Script,,TONY,Here's serious: my old man had a philosophy: peace means having a bigger stick than the other guy.
Iron_Man_Full_Script,,CHRISTINE,"Good line, coming from the guy selling the sticks."
Iron_Man_Full_Script,,TONY,My father helped defeat Hitler. He was on the Manhattan Project. A lot of people including your professors at Brown might call that being a hero.
Iron_Man_Full_Script,,CHRISTINE,"Others might call it war- profiteering. Tony has to smile, this gal is relentless."
Iron_Man_Full_Script,,TONY,"Tell me: do you plan to report on the millions we've saved by advancing medical technology? Or kept from starving with our inteli- crops? All were breakthroughs spawned from, that's right, military funding."
Iron_Man_Full_Script,,CHRISTINE,"Wow. You ever lose an hour of sleep your whole life? He regards her in earnest, then off her drop-dead look we -- SMASH CUT TO: 11 INT. TONY'S BEDROOM - STARK ESTATE - NIGHT	11 Christine and Tony, half naked, crashing about. She's the one attacking. They flop out of frame. 12 INT. TONY'S BEDROOM - MORNING	12 A clock changing from ""5:59AM"" to 6:00"". Christine awakens alone, as the room begins to transform. Darkened windows turn translucent, admitting light. She rises, startled by the TV flickering alive as she passes it. She looks out the window -- hell of a view. REVERSE ANGLE - OUTSIDE WINDOW. As we PULL AWAY and establish Tony's estate, perched impossibly on the cliffs above the Pacific. BACK TO: 13 INT. TONY'S BEDROOM - SAME TIME	13 Christine pads over to the closet, tries to open it. JARVIS (O.S.) I'm sorry, Miss Everhart, you are not authorized to access that area. She jumps, freaked out, grabs for Tony's shirt on the floor and covers herself. Just then Pepper enters, holding dry- cleaned clothes in plastic."
Iron_Man_Full_Script,,PEPPER,"(re: the voice) Don't worry, that's Jarvis -- he runs the house. Jarvis: de- activate security. Pepper eyes Tony's oversized shirt on Christine."
Iron_Man_Full_Script,,PEPPER,"Here, your clothes cleaned and pressed. Anything else I can get you?"
Iron_Man_Full_Script,,CHRISTINE,"Look, Tony wanted me to stay for breakfast, but I've got to get a jump on the day. Call me a cab, would you?"
Iron_Man_Full_Script,,PEPPER,"Cab's waiting outside. A beat, then --"
Iron_Man_Full_Script,,CHRISTINE,"And a coffee, hon. Black. One Splenda."
Iron_Man_Full_Script,,PEPPER,"(smiling sweetly) Should I tell Mr. Stark you were satisfied with the interview? 14 INT. TONY'S WORKSHOP - MORNING	14 It's like the chaos inside Tony's head, ultra-modern drones and missile parts, sports cars and long-abandoned prototypes. Framed photos of Tony and his Dad working on a classic '32 Ford. MUSIC drifts from an old Wurlitzer. We drift past: screens containing various CAD images of a flathead engine, and finally we find -- Tony, in suit-slacks and an undershirt, grimy from working on the same '32 Ford as in the photo. Pepper enters holding her PDA."
Iron_Man_Full_Script,,PEPPER,You still owe me five minutes--
Iron_Man_Full_Script,,TONY,Five? I'll need a bit longer than that --
Iron_Man_Full_Script,,PEPPER,Focus. I need to leave on time today.
Iron_Man_Full_Script,,TONY,"You're rushing me. What, you have plans tonight?"
Iron_Man_Full_Script,,PEPPER,The MIT commencement. Yes or no?
Iron_Man_Full_Script,,TONY,Maybe. Tell me your plans.
Iron_Man_Full_Script,,PEPPER,I'll tell them 'yes'. You want to buy the Jackson Pollock? He's got another buyer in the wings --
Iron_Man_Full_Script,,TONY,What's it look like?
Iron_Man_Full_Script,,TONY,"It's a minor work in his later Spring Period, it's ludicrously over-priced--"
Iron_Man_Full_Script,,TONY,Buy it. She's interrupted by her phone and taps her bluetooth headset. Listens.
Iron_Man_Full_Script,,PEPPER,He left an hour ago. Okay. (hangs up) It's Rhodey again.
Iron_Man_Full_Script,,TONY,"You have plans, don't you --?"
Iron_Man_Full_Script,,PEPPER,I'm allowed to have plans on my birthday.
Iron_Man_Full_Script,,TONY,It's your birthday again?
Iron_Man_Full_Script,,PEPPER,"Yep. Funny, same day as last year."
Iron_Man_Full_Script,,TONY,"Well, get yourself something from me. Something nice."
Iron_Man_Full_Script,,PEPPER,Already did.
Iron_Man_Full_Script,,TONY,And?
Iron_Man_Full_Script,,PEPPER,"It was very tasteful, very elegant. Thank you, Mr. Stark."
Iron_Man_Full_Script,,TONY,"You're welcome, Miss Potts. 15 EXT. STARK AVIATION HANGAR - SANTA MONICA AIRPORT - DAY	15 Rhodey, in uniform, paces talking on a cellphone. Behind him a parked Boeing Business Jet reading: STARK INTERNATIONAL, ""TOMORROW TODAY."" A GROWING RUMBLE and Rhodey turns to see a Saleen S7 roaring up, stopping short of him. Seconds later a Rolls limo arrives. Tony's chauffeur HOGAN pops the trunk and takes out: a single overnight suitcase. The Saleen's scissor-doors open, Tony jumps out. He heads for the Boeing, right past Rhodey."
Iron_Man_Full_Script,,TONY,"Sorry, pal, car trouble. 16 INT. TONY'S PLANE - PARKED - DAY	16 Rhodey, steaming, settles into his seat."
Iron_Man_Full_Script,,RHODEY,"I was standing out there three hours, what the hell --?"
Iron_Man_Full_Script,,TONY,I had car trouble. A hot Flight Attendant holds out steamy towels with thongs.
Iron_Man_Full_Script,,TONY,"Thanks, maybe later. Rhodey grabs a towel. The WHINE of ENGINES build. 17 INT. TONY'S PLANE - FLYING - DAY	17 A Flight Attendant stops by their seats."
Iron_Man_Full_Script,,ATTENDANT,"Would you like a drink, Mr. Stark?"
Iron_Man_Full_Script,,TONY,Two fingers of Laphroig. (to Rhodey) You want one?
Iron_Man_Full_Script,,RHODEY,We're working.
Iron_Man_Full_Script,,TONY,You should have a drink. We've got a twelve hour flight ahead of us.
Iron_Man_Full_Script,,RHODEY,It's two in the afternoon.
Iron_Man_Full_Script,,TONY,"It's two in the morning where we're going. C'mon, ten hours ""bottle to throttle --"""
Iron_Man_Full_Script,,RHODEY,Don't start with me.
Iron_Man_Full_Script,,TONY,"Jeez, we're not getting hammered. Just a nightcap. We'll sleep better, arrive fresh. It's the responsible thing to do. I don't know about you, but I want to sell some weapons. Off Rhodey's stoic look, we -- SMASH CUT TO: 18 INT. TONY'S PLANE - FLYING - NIGHT	18 MUSIC blares. Tony and Rhodey sip drinks, comfortably numb and oblivious to the flight attendants dancing next to them."
Iron_Man_Full_Script,,RHODEY,"(a few drinks in) You don't get it. I don't work for the military because they paid for my education, or my father's education. Don't cheapen it like that."
Iron_Man_Full_Script,,TONY,"All I said was, with your smarts, your engineering background, you could write your own ticket in the private sector -- on top of which, you wouldn't have to wear that 'straight-jacket'."
Iron_Man_Full_Script,,RHODEY,"'Straight-jacket'? This uniform means something. A chance to make a difference. You don't respect that, because you don't understand."
Iron_Man_Full_Script,,TONY,"(motions with a nod) See that one? Her I understand. Croatian. Hot-blooded, I'm serious. Must be those winters in Zagreb --"
Iron_Man_Full_Script,,RHODEY,You're not listening to a word I'm saying.
Iron_Man_Full_Script,,TONY,"I am listening. I'm changing the subject. It's the same litany, every time you've had a thimble of alcohol. Drink One: reflections on the New American Century and related topics --"
Iron_Man_Full_Script,,RHODEY,"Something's seriously wrong with you, man."
Iron_Man_Full_Script,,TONY,Drink 2: a history of World War II and the Tuskeegee Flyers. Drink 3--
Iron_Man_Full_Script,,RHODEY,"You know, hell with you. I'm not talking to you anymore. He undoes his seatbelt, rises, looking for somewhere else to sit."
Iron_Man_Full_Script,,TONY,"Go hang with the pilot. You'll get along, he's got a personality just like yours."
Iron_Man_Full_Script,,RHODEY,"I will. Rhodey heads to the cockpit and opens the door. RHODEY'S POV - THE COCKPIT Two empty pilot chairs, a fully-automated flight system. As Rhodey returns to his seat."
Iron_Man_Full_Script,,RHODEY,That's funny.
Iron_Man_Full_Script,,TONY,"You could tell? 19 EXT. BAGRAM AFB - AFGHANISTAN - DAY	19 Tony exits the plane, fresh, fired up to greet the waiting brass. He shakes hands. Then -- Rhodey appears dressed in ABUs. He's weary, squinting at the stinging sun. Pulls his sunglasses down over bleary eyes. Three JERICHO MISSILES on a 'flatbed' (which have been unloaded from a military jet in the b.g.) are brought under heavy guard to a waiting convoy. The CHATTER of MACHINE GUN fire and we -- CUT TO: 20 EXT. DESERT TEST SITE - AFGHANISTAN - DAY	20 Tony firing a N.R.F. 425 MACHINE GUN. Generals sit on folding chairs behind a safe-zone of Hescos and sand-bags. Afghani soldiers and SF (Air Force security) men patrol the perimeter. Tony puts the N.R.F. 425 gun down next to other weapons. He struts before the Generals like a carnival barker."
Iron_Man_Full_Script,,TONY,"The age old question: is it better to be feared or respected? I say, is it too much to ask for both? He nods at the Jericho Missile, on a mobile launcher."
Iron_Man_Full_Script,,TONY,"With that in mind, I humbly present the crown jewel of Stark Industries Freedom Line. It's the first missile system to incorporate my proprietary Repulsor Technology. They say the best weapon is one you never have to fire. I prefer the one you only have to fire once... The Jericho ROARS into the sky from a mobile launcher."
Iron_Man_Full_Script,,TONY,"That's how dad did it, it's how America does it, and so far its worked out pretty well. Find an excuse to fire off one of these and I personally guarantee the enemy is not gonna want to leave their caves. FLASH TO: the Jericho, as it divides from a single missile, into scores of mini-missiles."
Iron_Man_Full_Script,,ANGLE - ON TONY,A row of majestic peaks behind him. He raises his arms.
Iron_Man_Full_Script,,TONY,"For your consideration, the Jericho-- The mountains behind his outstretched hands explode. The shock-wave washes over Tony, blanking him with dust. REVERSE ANGLE As the shock-wave erases the observing Generals with dust."
Iron_Man_Full_Script,,TONY,"Now there's one last creation I haven't shown anyone yet. You might be interested-- He opens a large silver case. Ice-smoke curls out, then -- A bottle appears. Drink glasses. As Tony pours the Generals and Afghani military officials exchange awkward glances."
Iron_Man_Full_Script,,TONY,"(raises his glass) To peace, gentlemen and with every five hundred million, I'll throw in a free one of these. 21 EXT. DESERT TEST SITE - DAY	21 The Generals board their Humvees and depart to the East. Tony and Rhodey walk to their convoy of waiting Humvees, pointing West. Tony gets Obadiah Stane on his video-phone."
Iron_Man_Full_Script,,TONY,"Hey, what are you doing up?"
Iron_Man_Full_Script,,OBADIAH,Sleeping. How did it go?
Iron_Man_Full_Script,,TONY,I think we got an early Christmas coming.
Iron_Man_Full_Script,,OBADIAH,Sounds good.
Iron_Man_Full_Script,,TONY,"Hey, why aren't you wearing the PJs I got you?"
Iron_Man_Full_Script,,OBADIAH,"I don't do monograms. I'm hanging up now, bye-bye. Stane hangs up."
Iron_Man_Full_Script,,TONY,"All right, who wants to ride with me? Jimmy?"
Iron_Man_Full_Script,,JIMMY,"(psyched) Me? Jazzed, Jimmy and the others jump into the lead Humvee. As Rhodey approaches --"
Iron_Man_Full_Script,,TONY,"Sorry, Rhodey, no room for my conscience in here. Or that hang- dog look. (raising his glass) See you back at base. Rhodey shakes his head, and heads for a different Humvee. ROCK MUSIC is cranked up on a boom-box. And as Tony's door slams shut. SMASH CUT TO: 22 INT. CRUDE OPERATING ROOM - CAVE - AFGHANISTAN - NIGHT	22 Nightmarish. GARBLED VOICES. Stabbing lights. Tony thrashes against a restraining belt. Impressionistic glimpses: a red scalpel. Blood-spattered hands. Tony's heaving chest. A boilerplate. TONY'S POV: YINSEN (60s), looks down on us, performing the ""operation"". He yells to someone in Arabic, and -- Tony is held down, a chloroform rag is pressed to his face. 23 INT. LAB - CAVE - DAY	23 Tony flickers awake, disoriented. A tube protrudes from his nose. He sees -- Yinsen, humming a tune as he shaves by a broken mirror. But more importantly right now -- There is a jug of water on the table. Tony tries to speak, can't. It's the damn nasal tube. He pulls at it, gagging as two of feet of tubing slithers from his nose."
Iron_Man_Full_Script,,TONY,"(hoarse whisper) --water-- water. Yinsen keeps humming. Tony yanks the IV from his arm and stretches for the water, but is stopped by a wire, under his chest bandages, snapping taut."
Iron_Man_Full_Script,,YINSEN,"I wouldn't do that if I were you. Tony follows the wire with his eyes and finds, to his horror, that it's hooked up to a car battery. He starts clawing at his chest bandages. Yinsen turns. Tony sees his ugly chest wound. It's too much. He swoons. 24 INT. LAB - CAVE - HOURS LATER - DAY	24 Yinsen stirs a bubbling pot on the furnace. He flicks glances at Tony, waking up on the cot. Tony eyes the bulky chest-piece protruding from his fresh bandages."
Iron_Man_Full_Script,,TONY,What have you done to me?
Iron_Man_Full_Script,,YINSEN,"What did I do? I removed what I could, but there's a lot left headed for you atrial septum. Do you want a souvenir? He tosses Tony a jar with scores of bloody Christmas tree- like barbs. Tony regards the 'shrapnel' he owns the patent to, and lets the jar drop."
Iron_Man_Full_Script,,YINSEN,"I've seen many wounds like this in my village. The walking dead we called them, because it took a week for the barbs to reach vital organs. I anchored a magnetic suspension system to the plate. It's holding the shrapnel in place at least for now. Tony struggles up, sits on the cot and notices something -- TONY'S POV: a surveillance camera on the cave wall."
Iron_Man_Full_Script,,YINSEN,"That's right, smile. (then) We met once -- at a technical conference in Bern."
Iron_Man_Full_Script,,TONY,I don't remember.
Iron_Man_Full_Script,,YINSEN,"You wouldn't. If I'd been that drunk, I wouldn't have been able to stand, much less give a talk on integrated circuits."
Iron_Man_Full_Script,,TONY,"Where are we --? The door-slat flies opens and a pair of dark eyes stare in. Yinsen drops his spoon, puts his hands on his head."
Iron_Man_Full_Script,,YINSEN,"Stand up! Do as I do. Now! Tony gets to his feet, can't gets his hands up. Yinsen helps him."
Iron_Man_Full_Script,,YINSEN,"Listen to me, whatever they ask you, refuse. You understand? You must refuse. The door opens and ABU BAKAR enters with two armed Henchmen (Ahmed and Omar). On Ahmed's wrist, Tony notices -- Jimmy's bright orange METS watch (from the convoy earlier)."
Iron_Man_Full_Script,,ABU,"(in Arabic) Welcome Tony Stark, the greatest mass murderer in the history of America. It's a great honor."
Iron_Man_Full_Script,,YINSEN,"(translating for Abu) He says welcome Tony Stark, the greatest mass murderer in the history of America. He is very honored. Abu looks Tony up and down like a prize horse, then --"
Iron_Man_Full_Script,,ABU,(in Arabic) I want you to build this for me -- the Jericho missile you were demonstrating. Abu holds out a photo: a surveillance image of the Jericho Missile launch.
Iron_Man_Full_Script,,YINSEN,(translation) You will build for him Jericho missile you were demonstrating.
Iron_Man_Full_Script,,TONY,"--I refuse. Yinsen backhands Tony across the face, goes ballistic --"
Iron_Man_Full_Script,,YINSEN,"You refuse? You will do everything he says. This is the great Abu Bakar. You're alive only because of his generosity. You are nothing. NOTHING. He offers you his hospitality, and you answer only with insolence He will not be refused. You will die in a pool of your own blood. Abu, spooning down Yinsen's food, throws a look of smug satisfaction. He heads out. The door slams shut."
Iron_Man_Full_Script,,YINSEN,"Perfect. You did very well, Stark. Tony is utterly perplexed."
Iron_Man_Full_Script,,YINSEN,"Good, I think they're starting to trust me. Yinsen returns to cooking."
Iron_Man_Full_Script,,YINSEN,"Well, that's the end of my plan. 25 INT. LAB - CAVE - DAY	25 Tony is jostled awake by Abu's Henchmen, wrestling a hood over his head. He struggles as he's pulled to his feet. 26 INT. TUNNEL - CAVE - DAY	26 TONY'S POV - THROUGH HOOD: approaching the tunnel opening. 27 EXT. CAVE COMPLEX - MINUTES LATER - DAY	27 CLOSE ON - TONY: the hood is yanked off his head. He squints into the stinging daylight, his expression turning to shock. In a bowl of tall mountains, camouflaged tarps are furled, revealing skids upon skids of Stark Industries weapons dating back to 80s Afghanistan. VARIOUS SHOTS - OF CRATES: the STARK INTERNATIONAL MUNITIONS logos. Some faded, some new. Tony, stunned, staggers along the crates. Yinsen follows."
Iron_Man_Full_Script,,YINSEN,"Quite a collection, isn't it?"
Iron_Man_Full_Script,,TONY,How did they get all this?
Iron_Man_Full_Script,,ABU YINSEN,"(in Arabic) (translation) As you see, we have As you can see, they have everything you need to build everything you need to build the Jericho. You will make a the Jericho. He says make a list of materials and start list of materials. You will work right away. When we are start work right away and done we will set you free. When you are done he will set you free. Tony sees a heavily armed and imposing man surrounded by several men, who act as pilot fish around him. This is Warlord RAZA, a man you don't mess with."
Iron_Man_Full_Script,,TONY,No he won't
Iron_Man_Full_Script,,YINSEN,"--no he won't. 28 EXT. AMBUSH SITE - AFGHANISTAN - DAYS LATER - DAY	28 Cold charred wreckage. Rhodey, GENERAL GABRIEL (50s) and a team of SF men assess the remains of Tony's convoy."
Iron_Man_Full_Script,,RHODEY,Something's not right.
Iron_Man_Full_Script,,GABRIEL,Looks like a standard hit and run.
Iron_Man_Full_Script,,RHODEY,"Sir, I'm telling you, this was a snatch and grab. A perfectly executed linear ambush. As soon as they got what they wanted, they melted away."
Iron_Man_Full_Script,,GABRIEL,"Intel's on it, we're in good hands. If he's out there, we'll get him. It hangs there, then --"
